Year,flow
1963,997.2
1964,1133.8
1965,2927
1966,495.5
1967,624.8
1968,3272.7
1969,2843.4
1970,2318.7
1971,1586.7
1972,2540
1973,1577.83
1974,1515.2
1975,1949.8
1976,1689.6
1977,5797.3
1978,2203.4
1979,1732.5
1980,2157
1981,2563.9
1982,1103.2
1983,1207.88
1984,1446.66
1985,2805.6
1986,3550.8
1987,2856.5
1988,1043.8
1989,1418.52
1990,2952.4
1991,2691.9
1992,3438.2
1993,3157.5
1994,4419.2
1995,1177.9
1996,1882.8
1997,2510.21
1998,4571.62
1999,833.85
2000,2111.59
2001,2384.85
2002,1999.59
2003,3197.14
2004,5689.14
2005,4123.9
2006,899.13
2007,1785.07
2008,518.11
2009,717.05
2010,1772.26
2011,808.49
2012,987.72
2013,1285.23
2014,1094.98
2015,1236.89
2016,4397.2
2017,1375.04
2018,3065.95
2019,4158.09
2020,893.23
